sep=\t
Module Resource Usage Distribution Estimates
Generated at: Apr 21, 2024 19:00:14

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	    2527(0)	     584(0)	    3026(1)	    16(0)	     4(0)	
 +soc_inst:soc                                              	    2527(0)	     584(0)	    3025(0)	    16(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_a7d2cce6a3ef488f85dc03013b9f1268	  2527(443)	    584(16)	  3025(228)	    16(0)	     4(0)	
   +bufferCC_6:BufferCC_a7d2cce6a3ef488f85dc03013b9f1268    	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +bufferCC_7:BufferCC_1_a7d2cce6a3ef488f85dc03013b9f1268  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_a7d2cce6a3ef488f85dc03013b9f1268	 1312(1245)	   335(335)	 1971(1929)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_a7d2cce6a3ef488f85dc03013b9f1268	     67(67)	       0(0)	     42(42)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_a7d2cce6a3ef488f85dc03013b9f1268	     83(74)	       0(0)	     47(45)	     0(0)	     0(0)	
    +flowCCByToggle_1:FlowCCByToggle_a7d2cce6a3ef488f85dc03013b9f1268	       9(7)	       0(0)	       2(2)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_4_a7d2cce6a3ef488f85dc03013b9f1268	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_a7d2cce6a3ef488f85dc03013b9f1268	     78(78)	       0(0)	     23(23)	     0(0)	     0(0)	
   +bufferCC_8:BufferCC_3_a7d2cce6a3ef488f85dc03013b9f1268  	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_a7d2cce6a3ef488f85dc03013b9f1268	       3(0)	       0(0)	      69(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_a7d2cce6a3ef488f85dc03013b9f1268	       3(3)	       0(0)	     69(69)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_a7d2cce6a3ef488f85dc03013b9f1268	     11(11)	     15(15)	     69(69)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_a7d2cce6a3ef488f85dc03013b9f1268	       9(9)	     15(15)	     14(14)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_a7d2cce6a3ef488f85dc03013b9f1268	       3(3)	       0(0)	       2(2)	     8(8)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_a7d2cce6a3ef488f85dc03013b9f1268	     76(76)	       0(0)	   106(106)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_a7d2cce6a3ef488f85dc03013b9f1268	   165(165)	     63(63)	   140(140)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_a7d2cce6a3ef488f85dc03013b9f1268	    164(64)	      79(8)	    181(44)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_a7d2cce6a3ef488f85dc03013b9f1268   	     66(21)	     27(21)	    109(32)	     0(0)	     0(0)	
     +tx:UartCtrlTx_a7d2cce6a3ef488f85dc03013b9f1268        	     11(11)	       0(0)	     29(29)	     0(0)	     0(0)	
     +rx:UartCtrlRx_a7d2cce6a3ef488f85dc03013b9f1268        	     34(32)	       6(6)	     48(48)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_5_a7d2cce6a3ef488f85dc03013b9f1268	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_a7d2cce6a3ef488f85dc03013b9f1268	     18(18)	     22(22)	     13(13)	     1(1)	     0(0)	
    +system_uart_0_io_logic_uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_a7d2cce6a3ef488f85dc03013b9f1268	     16(16)	     22(22)	     15(15)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_a7d2cce6a3ef488f85dc03013b9f1268	   171(103)	      61(0)	    173(72)	     2(0)	     0(0)	
    +ctrl:TopLevel_a7d2cce6a3ef488f85dc03013b9f1268         	     32(32)	     11(11)	     70(70)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_a7d2cce6a3ef488f85dc03013b9f1268	     18(18)	     25(25)	     15(15)	     1(1)	     0(0)	
    +system_spi_0_io_logic_ctrl_io_rsp_queueWithOccupancy:StreamFifo_1_a7d2cce6a3ef488f85dc03013b9f1268	     18(18)	     25(25)	     16(16)	     1(1)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_a7d2cce6a3ef488f85dc03013b9f1268	       3(3)	       0(0)	       2(2)	     0(0)	     0(0)	
